timestamp,X1,X2,Y1,Y2,D1,D2,Z1,Z2,id
2024-07-24 12:52:36,-0.94,2.25,-1.69,17.63,25.88,123.00,25.88,27.94,264
2024-07-24 12:52:49,-0.56,0.00,-2.63,6.94,25.13,130.31,27.75,28.31,265
2024-07-24 12:52:56,-0.75,0.75,1.69,17.63,26.25,137.06,26.81,28.31,266
2024-07-24 12:53:04,3.19,-0.19,0.94,32.81,26.81,146.63,25.88,28.13,267
2024-07-24 12:53:12,0.19,0.00,2.44,13.88,25.50,147.00,25.88,27.38,268
2024-07-24 12:53:20,0.56,1.31,0.75,8.44,24.75,138.94,26.81,27.75,269
2024-07-24 12:53:28,-0.38,-1.88,-0.56,15.19,27.00,146.81,27.38,27.38,270
2024-07-24 12:53:36,1.13,1.69,-0.94,12.75,26.25,155.25,26.06,26.25,271
2024-07-24 12:53:44,-0.56,0.56,0.56,29.81,24.19,152.63,25.13,27.56,272
2024-07-24 12:53:52,0.94,-1.13,3.00,26.63,26.63,148.13,27.38,27.56,273
2024-07-24 12:54:05,2.44,1.88,0.19,-3.00,29.25,143.25,26.25,27.94,274
2024-07-24 12:54:14,1.50,1.31,2.06,-1.31,24.56,133.13,26.25,28.69,275
2024-07-24 12:54:22,0.75,-0.56,0.38,17.81,23.44,144.19,24.94,27.75,276
2024-07-24 12:54:30,0.00,3.00,-0.56,3.75,27.19,135.75,27.94,27.00,277
2024-07-24 12:54:38,1.31,1.31,0.00,33.19,26.44,133.88,26.81,27.38,278
2024-07-24 12:54:46,2.25,2.06,-1.13,18.75,24.19,127.88,27.00,26.63,279
2024-07-24 12:54:57,0.38,0.19,-0.38,-9.75,25.50,129.19,27.94,26.25,280
2024-07-24 12:55:06,0.19,0.00,0.38,-27.56,27.00,125.06,25.31,26.44,281
2024-07-24 12:55:17,1.69,0.56,0.19,-48.38,24.56,113.63,23.81,26.63,282
2024-07-24 12:55:26,-0.56,1.50,1.88,-31.50,26.44,132.94,26.25,26.81,283
2024-07-24 12:55:34,1.69,-0.56,-0.94,-5.44,23.25,142.88,28.13,26.81,284
2024-07-24 12:55:42,1.50,0.19,-1.13,51.94,22.88,146.81,23.63,27.19,285
2024-07-24 12:55:50,0.00,0.00,-0.38,27.56,24.75,140.81,26.63,26.63,286
2024-07-24 12:55:58,0.00,-1.31,0.94,23.63,27.00,155.44,25.88,27.00,287
